S0,K,T,r,sigma,steps,binomial_price
80,100,1.0,0.05,0.4,100,23.93792039746761
80,100,2.0,0.02,0.15,100,20.07888569800003
80,100,2.0,0.02,0.25,100,23.035598891304886
80,100,2.0,0.02,0.4,100,29.35602857233389
80,100,2.0,0.05,0.15,100,20.0
80,100,2.0,0.05,0.25,100,21.206256886018867
80,100,2.0,0.05,0.4,100,26.91327304798249
90,100,0.25,0.02,0.15,100,10.052597653017546
90,100,0.25,0.02,0.25,100,11.032963039642631
90,100,0.25,0.02,0.4,100,13.309982258943371
90,100,0.25,0.05,0.15,100,10.0
90,100,0.25,0.05,0.25,100,10.698239336171584
90,100,0.25,0.05,0.4,100,12.924683349341393
90,100,0.5,0.02,0.15,100,10.363276972272919
90,100,0.5,0.02,0.25,100,12.280144706992399
90,100,0.5,0.02,0.4,100,15.855358987965543
90,100,0.5,0.05,0.15,100,10.032506586240137
90,100,0.5,0.05,0.25,100,11.634238474332996
90,100,0.5,0.05,0.4,100,15.136779850648857
90,100,1.0,0.02,0.15,100,11.06714542067987
90,100,1.0,0.02,0.25,100,14.23315365157262
90,100,1.0,0.02,0.4,100,19.534496355611147
90,100,1.0,0.05,0.15,100,10.267212382417135
90,100,1.0,0.05,0.25,100,13.041361238505246
90,100,1.0,0.05,0.4,100,18.19624148273132
90,100,2.0,0.02,0.15,100,12.191020496094374
90,100,2.0,0.02,0.25,100,16.983931008814782
90,100,2.0,0.02,0.4,100,24.430301543309803
90,100,2.0,0.05,0.15,100,10.675350247724406
90,100,2.0,0.05,0.25,100,14.846898344043954
90,100,2.0,0.05,0.4,100,21.975070621999215
100,100,0.25,0.02,0.15,100,2.7727900390853617
100,100,0.25,0.02,0.25,100,4.750174380375186
100,100,0.25,0.02,0.4,100,7.714949486383633
100,100,0.25,0.05,0.15,100,2.5010522003914786
100,100,0.25,0.05,0.25,100,4.452835798340915
100,100,0.25,0.05,0.4,100,7.395764515489214
100,100,0.5,0.02,0.15,100,3.8042263940003167
100,100,0.5,0.02,0.25,100,6.585659981637887
100,100,0.5,0.02,0.4,100,10.752304261051108
100,100,0.5,0.05,0.15,100,3.296219617652065
100,100,0.5,0.05,0.25,100,6.013430328478295
100,100,0.5,0.05,0.4,100,10.124661495534435
100,100,1.0,0.02,0.15,100,5.153663853157251
100,100,1.0,0.02,0.25,100,9.0475852984223
100,100,1.0,0.02,0.4,100,14.869756522264709
100,100,1.0,0.05,0.15,100,4.226797852513212
100,100,1.0,0.05,0.25,100,7.96361087667666
100,100,1.0,0.05,0.4,100,13.646911065763575
100,100,2.0,0.02,0.15,100,6.85684875429556
100,100,2.0,0.02,0.25,100,12.261478182458545
100,100,2.0,0.02,0.4,100,20.306821408382373
100,100,2.0,0.05,0.15,100,5.224425517210077
100,100,2.0,0.05,0.25,100,10.256554221795993
100,100,2.0,0.05,0.4,100,17.966556906377388
110,100,0.25,0.02,0.15,100,0.33312575868353317
110,100,0.25,0.02,0.25,100,1.5732118594276299
110,100,0.25,0.02,0.4,100,4.147626404044665
110,100,0.25,0.05,0.15,100,0.2714571638709496
110,100,0.25,0.05,0.25,100,1.4252410027541798
110,100,0.25,0.05,0.4,100,3.9244296314310354
110,100,0.5,0.02,0.15,100,0.9529833930496686
110,100,0.5,0.02,0.25,100,3.16668387700932
110,100,0.5,0.02,0.4,100,7.117726166249258
110,100,0.5,0.05,0.15,100,0.7436193342003261
110,100,0.5,0.05,0.25,100,2.79121629520661
110,100,0.5,0.05,0.4,100,6.613209963120062
110,100,1.0,0.02,0.15,100,2.0275069167493456
110,100,1.0,0.02,0.25,100,5.516120714905351
110,100,1.0,0.02,0.4,100,11.294208433280899
110,100,1.0,0.05,0.15,100,1.4873090794283368
110,100,1.0,0.05,0.25,100,4.678215716620272
110,100,1.0,0.05,0.4,100,10.216811689821638
110,100,2.0,0.02,0.15,100,3.621618990472612
110,100,2.0,0.02,0.25,100,8.80407751660836
110,100,2.0,0.02,0.4,100,16.951834541206953
110,100,2.0,0.05,0.15,100,2.4400528800197234
110,100,2.0,0.05,0.25,100,7.067123840177509
110,100,2.0,0.05,0.4,100,14.76945668413742
120,100,0.25,0.02,0.15,100,0.01592033155862058
120,100,0.25,0.02,0.25,100,0.40231228379288897
120,100,0.25,0.02,0.4,100,2.0616362782464943
120,100,0.25,0.05,0.15,100,0.011725392198593084
120,100,0.25,0.05,0.25,100,0.352209278837551
120,100,0.25,0.05,0.4,100,1.9269986474301228
120,100,0.5,0.02,0.15,100,0.16141001722824835
120,100,0.5,0.02,0.25,100,1.357474621454725
120,100,0.5,0.02,0.4,100,4.560271808224753
120,100,0.5,0.05,0.15,100,0.1140715621997819
120,100,0.5,0.05,0.25,100,1.156430980224228
120,100,0.5,0.05,0.4,100,4.183408086192001
120,100,1.0,0.02,0.15,100,0.6741176016377486
120,100,1.0,0.02,0.25,100,3.2507361184100154
120,100,1.0,0.02,0.4,100,8.516383723516789
120,100,1.0,0.05,0.15,100,0.4466056403887793
120,100,1.0,0.05,0.25,100,2.6627850194215963
120,100,1.0,0.05,0.4,100,7.604981040809117
120,100,2.0,0.02,0.15,100,1.7984700550309571
120,100,2.0,0.02,0.25,100,6.241154893035263
120,100,2.0,0.02,0.4,100,14.17158714059805
120,100,2.0,0.05,0.15,100,1.0863442215779875
120,100,2.0,0.05,0.25,100,4.830300903110564
120,100,2.0,0.05,0.4,100,12.173811261020537
130,100,0.25,0.02,0.15,100,0.000342673033416492
130,100,0.25,0.02,0.25,100,0.08207933486147714
130,100,0.25,0.02,0.4,100,0.9604915185299151
130,100,0.25,0.05,0.15,100,0.0002294387820780594
130,100,0.25,0.05,0.25,100,0.06958811378922737
130,100,0.25,0.05,0.4,100,0.8871698556218316
130,100,0.5,0.02,0.15,100,0.01913296275362547
130,100,0.5,0.02,0.25,100,0.5386442162069032
130,100,0.5,0.02,0.4,100,2.8759202837229996
130,100,0.5,0.05,0.15,100,0.012283761408285469
130,100,0.5,0.05,0.25,100,0.4445076103929334
130,100,0.5,0.05,0.4,100,2.6081150731708735
130,100,1.0,0.02,0.15,100,0.19820897341602856
130,100,1.0,0.02,0.25,100,1.8404061206617068
130,100,1.0,0.02,0.4,100,6.385304746796726
130,100,1.0,0.05,0.15,100,0.11952823461516082
130,100,1.0,0.05,0.25,100,1.4589186767407951
130,100,1.0,0.05,0.4,100,5.633541772445814
130,100,2.0,0.02,0.15,100,0.8438893793190743
130,100,2.0,0.02,0.25,100,4.3800092598519385
130,100,2.0,0.02,0.4,100,11.825282131984176
130,100,2.0,0.05,0.15,100,0.4615515825690784
130,100,2.0,0.05,0.25,100,3.278507835886216
130,100,2.0,0.05,0.4,100,10.027297946425055
